CVEGEO,CVE_ENT,NOMGEO,CVE,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 6,SEMANA 7,SEMANA 8,SEMANA 9,SEMANA 10,SEMANA 11,SEMANA 12,SEMANA 13,SEMANA 14,SEMANA 15,SEMANA 16,SEMANA 17,SEMANA 18,SEMANA 19,SEMANA 20
06002,6,Colima,6002,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
06003,6,Comala,6003,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
06004,6,Coquimatlán,6004,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
06005,6,Cuauhtémoc,6005,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
06006,6,Ixtlahuacán,6006,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
06007,6,Manzanillo,6007,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4
06008,6,Minatitlán,6008,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
06009,6,Tecomán,6009,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4
06010,6,Villa de Álvarez,6010,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07001,7,Acacoyagua,7001,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07002,7,Acala,7002,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07003,7,Acapetahua,7003,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07004,7,Altamirano,7004,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07005,7,Amatán,7005,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07006,7,Amatenango de la Frontera,7006,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07007,7,Amatenango del Valle,7007,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07008,7,Ángel Albino Corzo,7008,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07009,7,Arriaga,7009,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07010,7,Bejucal de Ocampo,7010,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07011,7,Bella Vista,7011,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07012,7,Berriozábal,7012,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07013,7,Bochil,7013,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07014,7,El Bosque,7014,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07015,7,Cacahoatán,7015,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07016,7,Catazajá,7016,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07017,7,Cintalapa,7017,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07018,7,Coapilla,7018,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07019,7,Comitán de Domínguez,7019,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07020,7,La Concordia,7020,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07021,7,Copainalá,7021,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07022,7,Chalchihuitán,7022,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07023,7,Chamula,7023,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07024,7,Chanal,7024,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07025,7,Chapultenango,7025,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07026,7,Chenalhó,7026,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4
07027,7,Chiapa de Corzo,7027,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07028,7,Chiapilla,7028,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07029,7,Chicoasén,7029,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07030,7,Chicomuselo,7030,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07031,7,Chilón,7031,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07032,7,Escuintla,7032,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07033,7,Francisco León,7033,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07034,7,Frontera Comalapa,7034,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
07035,7,Frontera Hidalgo,7035,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07036,7,La Grandeza,7036,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
07037,7,Huehuetán,7037,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07038,7,Huixtán,7038,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07039,7,Huitiupán,7039,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07040,7,Huixtla,7040,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07041,7,La Independencia,7041,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07042,7,Ixhuatán,7042,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07043,7,Ixtacomitán,7043,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07044,7,Ixtapa,7044,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07045,7,Ixtapangajoya,7045,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07046,7,Jiquipilas,7046,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
